,,,,,план 10,план 11,план 12,план 01,план 02,план 04,Октябрь 2021,,,Ноябрь 2021,,,Декабрь 2021,,,Январь 2022,,,Март 2022,,,Май 2022,,,,Июль 2022,,,Август 2022,,,,,Сентябрь 2022,,,,,Октябрь 2022,,,,,Ноябрь 2022,,,,,Декабрь 2022,,,,,Январь 2023,,,,,Февраль 2023,,,,,Март 2023,,,,,Апрель 2023,,,,,Май 2023,,,,,Июнь 2023,,,,,Июль 2023,,,,Август 2023,,,,,,Сентябрь 2023,,,,,Октябрь 2023,,,,,Ноябрь 2023,,,,,Декабрь 2023,,,,,Январь 2024,,,,,Февраль 2024,,,,Март 2024,,,,Апрель 2024,,,,Май 2024,,,,Июнь 2024,,,,Июль 2024,,,Август 2024,,,,Сентябрь 2024,,,,Октябрь 2024,,,,Ноябрь 2024,,,,Декабрь 2024,,,,Январь 2025,,,,Февраль 2025,,,,Март 2025,,,,Апрель 2025,,,,Май 2025,,,,Июнь 2025,,,,Июль 2025,,,,Август 2025,,,,Сентябрь 2025,,,,Октябрь 2025,,,,Ноябрь 2025,,,,Декабрь 2025,,,,Январь 2026,,,,Февраль 2026,,,,Март 2026,,,,Апрель 2026,,,,Май 2026,,,,Июнь 2026,,,,Июль 2026,,,,Август 2026,,,
Тараз,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@42.8978563,71.3715189,17z/data=!4m8!3m7!1s0x38a7036966979331:0xcbd1cad118385945!8m2!3d42.8978563!4d71.3715189!9m1!1b1!16s%2Fg%2F11s56njr8d?authuser=1&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","улица Казыбек Би, 115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,0,1,5,1,1,,2,5,1,1,,3,5,1,0,3,3,5,,,,3,5,2,2,,5,5,1,1,,6,5,,,,6,5,1,,,6,5,1,1,1,7,5,,,1,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,7,5,,7,5,-,,7,5,Алексей,1,8,5,Алексей,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,
Усть-Каменогорск,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@49.9674511,82.5797551,17z/data=!4m8!3m7!1s0x42eb45c99b5ab6ab:0x7f32a13f7149c058!8m2!3d49.9674511!4d82.5797551!9m1!1b1!16s%2Fg%2F11t5xbjlbd?hl=ru&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","улица Маяковского, 9",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,5,1,1,0,2,5,1,1,,3,5,,,,3,5,1,0,0,2,5,1,1,1,3,5,,,,3,5,1,0,,3,5,2,1,,4,5,,1,1,5,5,1,1,,6,5,,,2,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,,,,6,5,,,6,5,,2,8,5,,,8,5,,,8,5,,8,5,,8,5,-,1,9,5,Алексей,,9,5,-,,9,5,-,,9,5,-,,9,5,-,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,
Павлодар,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@52.2673029,76.7939038,17z/data=!4m8!3m7!1s0x42f9cb5512b9bd63:0xad56356b9eb3c140!8m2!3d52.2673029!4d76.7939038!9m1!1b1!16s%2Fg%2F11t7bxcth8?authuser=1&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","улица Малайсары Батыра, 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,0,1,5,1,1,,2,5,1,1,,3,5,1,0,2,3,5,,,,2,5,2,2,,4,5,1,1,,5,5,1,1,,6,5,,,,6,5,1,1,,7,5,,,1,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,7,5,,7,5,Алексей,1,8,5,Алексей,,8,5,-,,8,5,-,,8,5,-,,8,5,-,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,
Атырау,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@47.105576,51.9063433,17z/data=!4m8!3m7!1s0x41a3e96304d7eed3:0x332efdd97376e24a!8m2!3d47.105576!4d51.9063433!9m1!1b1!16s%2Fg%2F11t4b0wd51?hl=ru&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","проспект Каныша Сатпаева, 17Б",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,5,1,1,0,2,5,1,1,,3,5,1,1,,4,5,,,,2,5,1,1,1,3,5,,,,3,5,1,0,,3,5,2,1,,4,5,,1,1,5,5,1,1,2,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,6,5,1,7,5,Алексей,,7,5,-,,7,5,-,,7,5,-,,7,5,-,,7,5,-,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,
Семей,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@50.4120257,80.2352689,17z/data=!4m8!3m7!1s0x42f26516e35ed92f:0xb306f45512497b42!8m2!3d50.4120257!4d80.2352689!9m1!1b1!16s%2Fg%2F11t7bw2g4b?authuser=1&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","улица Абая, 115/1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,0,1,5,1,1,,2,5,1,1,,3,5,1,0,3,3,5,,,,3,5,1,1,,4,5,1,1,1,5,5,,,,5,5,,,,5,5,1,1,,6,5,,,1,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,,,,6,5,1,1,7,5,,,7,5,,,7,5,,,7,5,,7,5,,7,5,-,1,8,5,Алексей,,8,5,-,,8,5,-,,8,5,-,,8,5,Алексей,1,9,5,Иван,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,,,9,5,
Кызылорда,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@44.8362409,65.5032094,17z/data=!4m8!3m7!1s0x41f7fde1a40f1021:0xa9918b408ea5f408!8m2!3d44.8362409!4d65.5032094!9m1!1b1!16s%2Fg%2F11s56nbns_?authuser=1&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","улица Желтоксан, 42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,0,1,5,1,1,,2,5,1,1,,3,5,1,0,3,3,5,,,,3,5,1,1,,4,5,1,1,1,5,5,,,,5,5,1,,,5,5,1,1,,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,6,5,,6,5,-,,6,5,Алексей,1,7,5,Алексей,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,
Актау,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@43.6635082,51.1659093,15z/data=!4m8!3m7!1s0x41b4335fea9287f9:0xbbdfb2983f4f6ec4!8m2!3d43.6588079!4d51.1974563!9m1!1b1!16s%2Fg%2F11t6y4qym3?authuser=1&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","​27-й микрорайон, 85",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,0,,0,,0,0,2,2,,2,5,1,1,3,3,5,,,,3,5,,,,3,5,1,1,1,4,5,,,,4,5,,,,4,5,,,,4,5,,,,4,5,,,,4,5,,,,4,5,,,,4,5,,,,4,5,,,,4,5,,,,4,,1,0,4,5,1,0,4,5,1,0,4,5,,,4,5,,,4,5,,4,5,1,5,5,Алексей,,5,5,-,,5,5,-,,5,5,-,,5,5,-,,5,5,-,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,
Костанай,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@53.2045904,63.6171214,14z/data=!4m8!3m7!1s0x43cc8b7bb256486d:0xe024dd9ef39e5169!8m2!3d53.1982728!4d63.6167702!9m1!1b1!16s%2Fg%2F11t6y3px68?authuser=1&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","улица Хакимжановой, 9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,0,1,5,1,2,,3,5,,,,3,5,1,0,2,2,5,1,1,1,3,5,,,,3,5,1,0,,3,5,2,1,,4,5,,1,1,5,5,1,1,1,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,6,5,,6,5,-,,6,5,Алексей,1,7,5,Алексей,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,
Уральск,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@51.2160625,51.3802112,17z/data=!4m8!3m7!1s0x4171bb5679469def:0x398120a3c590c39e!8m2!3d51.2160625!4d51.3802112!9m1!1b1!16s%2Fg%2F11t6y4ypb6?authuser=1&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","​улица Мухита, 112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,0,1,5,1,1,,2,5,1,1,,3,5,1,0,3,3,5,,,,3,5,1,1,,4,5,1,1,1,5,5,,,,5,5,1,,,5,5,1,1,1,6,5,,,1,6,5,,,,6,5,,,,6,5,,,,6,5,,,,6,5,,,1 (оценка 5),6,5,,,,6,,,,6,5,,,6,5,,,6,5,,,6,5,,,6,5,,6,5,,6,5,-,,6,5,Алексей,1,7,5,Алексей,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,
Туркестан,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@43.3012632,68.2579678,17z/data=!4m8!3m7!1s0x4200c3d333ffd1d7:0x8bd63ca6cc438ac6!8m2!3d43.3012632!4d68.2579678!9m1!1b1!16s%2Fg%2F11wng54c85?hl=ru&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","проспект Тауке Хана, 272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,Алексей,,0,,Алексей,1,1,5,Иван,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,
Кокшетау,https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/data=!4m2!3m1!1s0x0:0xa2b82ef44dc092c0?sa=X&ved=1t:2428&hl=ru&ictx=111,"улица Абая, 96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,Алексей,,0,,Алексей,,0,,Иван,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Темиртау,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@50.0626834,72.9915588,17z/data=!4m8!3m7!1s0x4243598974623b73:0x3bc259d76fdac340!8m2!3d50.0626834!4d72.9915588!9m1!1b1!16s%2Fg%2F11lw7lghgn?hl=ru&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","проспект Республики, 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,Алексей,,0,,Алексей,1,1,5,Иван,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,
Талдыкорган,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@45.0152,78.3816751,17z/data=!4m8!3m7!1s0x427eff420b55c2b1:0xd3f107f02b6e6c6e!8m2!3d45.0152!4d78.3816751!9m1!1b1!16s%2Fg%2F11y9nt0d5l?hl=ru&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","улица Толебаева, 69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,Алексей,,0,,Алексей,1,1,5,Иван,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,
Экибастуз,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@51.7268857,75.3206556,17z/data=!4m8!3m7!1s0x42582b6af12e3a89:0xcece659eb9266ab9!8m2!3d51.7268857!4d75.3206556!9m1!1b1!16s%2Fg%2F11wnjl9ffz?hl=ru&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","улица Мухтара Ауэзова, 53/1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,Алексей,,0,,Алексей,1,1,5,Иван,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,
Жанаозен,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@43.3570673,52.84362,17z/data=!4m8!3m7!1s0x41c9c5475aff92d3:0xc4b1f0c1789ede1d!8m2!3d43.3570673!4d52.84362!9m1!1b1!16s%2Fg%2F11wnjjv1p5?hl=ru&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","улица Мира, 9/2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,Алексей,,0,,Алексей,1,1,5,Иван,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,,,1,5,
Петропавловск,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D0%B3%D1%80%D1%83%D0%BF%D0%BF/@54.8811191,69.1459955,17z/data=!4m8!3m7!1s0x43b23b0497cad231:0x20123174741552c7!8m2!3d54.8811191!4d69.1459955!9m1!1b1!16s%2Fg%2F11t6y4f4fw?authuser=1&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","улица Крепостная, 105​",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,0,1,5,1,1,,2,5,,,,2,5,1,0,2,2,5,1,1,1,3,5,,,,3,5,1,1,1,4,5,1,1,,5,5,1,1,1,6,5,1,1,,7,5,,,1,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,,,,7,5,,,7,5,,,7,5,,,7,5,,,7,5,,7,5,,7,5,-,,7,5,Алексей,,7,5,Алексей,,7,5,Алексей,,7,5,Алексей,,7,5,Алексей,1,8,5,Иван,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,
2ГИС (76),,,,,0,2,4,4,3,3,,,,,,,,,,,,,,,,3,,,,,,,8,8,0,25,75,16,16,0,41,108,17,16,0,57,174,18,18,0,75,#REF!,15,15,13,90,,15,15,0,104,,17,15,0,119,,15,14,0,133,,12,12,0,145,,10,10,7,155,,16,12,3,167,,12,12,30,179,,9,9,12,185,,11,11,11,196,,11,11,11,207,,11,11,0,218,,9,9,7,227,,10,11,11,238,,3,3,242,,3,3,229,,6,7,238,"4,98",13,1,239,"4,98",7,9,265,"4,99",5,270,"4,99",16,285,"4,99",,5,288,"4,96",,15,303,"4,98",,11,314,"4,98",,3,317,"5,00",,3,320,"5,00",,12,332,"5,00",,14,346,"4,99",,0,346,"4,99",,14,360,"4,99",,16,376,"4,99",,12,388,"4,98",,7,395,"4,98",,7,402,"4,99",,9,411,"4,99",,9,420,"4,86",,10,430,"4,86",,0,430,"4,86",,13,443,"4,87",,0,443,"4,99",,11,454,"4,87",,11,465,"4,87",,9,474,"4,87",,0,474,"4,87",,0,474,"4,87",
Россия,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,232,"4,98",7,1,233,"4,98",5,5,238,"4,98",3,241,"4,98",14,254,"4,98",,3,257,"4,95",,10,267,"4,98",,11,278,"4,98",,1,279,"5,00",,3,282,"5,00",,6,288,"5,00",,12,300,"4,99",,0,300,"4,99",,9,309,"4,98",,16,325,"4,99",,10,335,"4,98",,7,342,"4,98",,7,349,"4,99",,7,356,"4,99",,7,363,"4,99",,10,373,"4,99",,0,373,"4,99",,13,386,"4,99",,0,386,"4,99",,11,397,"4,99",,11,408,"4,99",,9,417,"4,99",,,417,"4,99",,,417,"4,99",
Москва,https://2gis.ru/moscow/firm/70000001077855514//tab/reviews,"улица Люблинская, 151",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,1,5,1,1,0,2,5,,0,,2,5,1,1,,3,5,,,,3,5,,,,3,5,2,0,,3,0,2,0,,3,0,,,,3,0,,,,3,0,,,,3,0,,,,3,0,,,,0,0,2,2,2,2,0,2,2,2,4,5,1,1,,5,5,1,1,1,6,5,1,1,1,7,5,,,7,5,,,7,5,1,1,8,5,,,8,5,,,8,5,,8,5,1,9,5,Алексей,,9,5,-,,9,5,-,1,10,5,Алексей,,10,5,,,10,5,,1,11,5,Алексей,,11,5,-,,11,5,-,1,12,5,Алексей,,12,5,-,,12,5,-,1,13,5,Алексей,,13,5,-,,13,5,-,,13,5,,1,14,5,Алексей,,14,5,,,14,5,,,14,5,,1,15,5,Алексей,,15,5,,,15,5,,,15,5,Алексей,,15,5,
Санкт-Петербург,,"улица Воронежская, 96",#REF!,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,0,5,,,,1,5,1,1,0,2,5,,0,0,2,5,1,1,,3,5,1,1,1,4,5,1,1,,5,5,,,,5,5,2,2,,7,5,,,,7,5,,,,7,5,,,,7,5,,,,7,5,1,1,1,8,5,1,1,1,9,5,,,,9,5,,,,9,5,1,1,1,10,5,,,,10,5,,,10,5,,,10,5,,,10,5,,,10,5,,,10,5,,10,5,1,11,5,Алексей,,11,5,-,,11,5,-,1,12,5,Алексей,,12,5,,,12,5,,1,13,5,Алексей,,13,5,-,,13,5,-,1,14,5,Алексей,,14,5,-,,14,5,-,,14,5,,,14,5,,,14,5,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,Алексей
Новосибирск,,"улица ​Максима Горького, 79",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,1,1,0,1,5,,0,,1,5,,,,1,5,1,1,,2,5,1,1,,3,5,,,,3,5,1,1,,4,5,,,,4,5,,,,4,5,,,,4,5,1,1,4,5,5,,,,5,5,,,,5,5,1,1,1,6,5,1,1,,7,5,,,,7,5,1,1,1,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,,8,5,,8,5,1,9,5,Алексей,,9,5,-,,9,5,-,1,10,5,Алексей,,10,5,,,10,5,,,10,5,Алексей,,10,5,-,,10,5,-,,10,5,Алексей,,10,5,-,,10,5,-,,10,5,,,10,5,,,10,5,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,
Екатеринбург,https://2gis.ru/ekaterinburg/firm/70000001056078519/tab/reviews,"улица Данилы Зверева, 31литS",#REF!,,,1,2,1,1,1,,,,1,1,5,3,3,5,3,3,5,4,1,5,,5,1,5,5,1,5,,,,5,5,,0,0,5,5,,0,,5,5,,,,5,5,,,,5,5,,,,5,5,2,2,,7,5,,,,7,5,1,1,,8,5,,,,8,5,,,,8,5,1,1,1,9,5,,,,9,5,2,2,2,11,5,1,1,1,12,5,,,,12,5,1,1,1,13,5,,1,1,14,5,,,14,5,,,14,5,1,1,15,5,,,15,5,,,15,5,,15,5,1,16,5,Алексей,,16,5,-,,16,5,-,1,17,5,Алексей,,17,5,,,17,5,,1,18,5,Алексей,,18,5,-,,18,5,-,1,19,5,Алексей,,19,5,-,,19,5,-,1,20,5,Алексей,,20,5,-,,20,5,-,,20,5,,1,21,5,Алексей,,21,5,,,21,5,,,21,5,,1,22,5,Алексей,,22,5,,1,23,5,Алексей,,23,5,Алексей,,23,5,
Казань,,"улица ​Пушкина, 52",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,1,1,0,1,5,1,1,,2,5,,,,2,5,1,1,2,3,5,,,,3,5,2,2,,5,5,,,,5,5,1,1,,6,5,,,,6,5,,,,6,5,1,1,1,7,5,1,1,1,8,5,1,1,1,9,5,,,,9,5,,,,9,5,,,,9,5,1,1,1,10,5,,,10,5,,,10,5,1,,10,удален,,,10,удален,,,10,,,10,,,10,,-,,10,,-,,10,,-,,10,,Алексей,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,Алексей
Красноярск,,"улица ​Карла Маркса, 95к1",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,1,5,1,1,0,2,5,,0,,2,5,1,1,,3,5,1,1,2,4,5,,,,4,5,2,2,,6,5,,,,6,5,1,1,,7,5,,,,7,5,,,,7,5,1,1,1,8,5,,,,8,5,,,,8,5,1,1,1,9,5,,,,9,5,,,,9,5,1,1,1,10,5,,,10,5,,,10,5,1,1,11,5,,,11,5,,,11,5,,11,5,1,12,5,Алексей,,12,5,-,,12,5,-,1,13,5,Алексей,,13,5,,,13,5,,,13,5,,,13,5,,,13,5,,,13,5,Алексей,,13,5,-,,13,5,-,,13,5,,,13,5,,,13,5,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,
